symbol,name,industry,exchange,price,pe_ttm,pb,turnover_rate,market_cap_10k,circulating_cap_10k,dividend_yield_ttm,date,market_cap,circulating_cap,median_pe,median_pb,pe_discount,pb_discount,score
601377.SH,兴业证券,证券,SSE,17.73,16.9379,1.0229,1.0457,5699751.614,5699751.614,2.2727,2026-03-06,569.9751614,569.9751614,19.207250000000002,1.22475,11.815069830402592,16.4809144723413,16.48840227386343
002452.SZ,长高电新,电气设备,SZSE,66.61,27.3721,2.9046,15.9491,749361.1587,623212.9863,0.9106,2026-03-06,74.93611587000001,62.32129863,38.7738,3.1055,29.40568115583203,6.469167605860582,16.434822744090987
600958.SH,东方证券,证券,SSE,12.79,16.257,1.0764,0.4373,8386188.9032,7372379.5868,2.2108,2026-03-06,838.61889032,737.23795868,19.207250000000002,1.22475,15.360085384425147,12.112676056338023,16.410236970671463
603344.SH,星德胜,电气设备,SSE,30.18,29.6458,2.7367,2.4891,575033.5769,159715.5769,1.0487,2026-03-06,57.50335769,15.97155769,38.7738,3.1055,23.54166989049307,11.875704395427478,16.125479274825473
002539.SZ,云图控股,农药化肥,SZSE,88.85,23.1047,2.0223,4.9065,1871971.8311,1365863.4178,1.2903,2026-03-06,187.19718311,136.58634178,26.9048,2.584,14.124245487793996,21.73761609907121,16.04188302483896
600546.SH,山煤国际,煤炭开采,SSE,96.27,18.8448,1.4188,1.4245,2323438.5961,2323438.5961,5.8874,2026-03-06,232.34385961,232.34385961,19.6431,1.279,4.064022481176599,-10.930414386239251,16.00868467659886
000551.SZ,创元科技,专用机械,SZSE,128.51,27.4274,2.51,2.2046,706256.048,703705.2912,0.572,2026-03-06,70.62560479999999,70.37052912,37.0845,2.8635,26.04079871644488,12.345032303125558,15.835829177515619
600284.SH,浦东建设,建筑工程,SSE,20.9,20.0095,0.955,0.6697,746126.864,746126.864,2.3407,2026-03-06,74.6126864,74.6126864,20.061799999999998,1.3445,0.2606944541367118,28.96987727779844,15.817340964994218
600905.SH,三峡能源,新型电力,SSE,4.55,22.8977,1.3682,0.6778,12206926.6106,12206926.6106,1.5691,2026-03-06,1220.69266106,1220.69266106,27.9625,1.5627,18.11282968261063,12.446406859921922,15.686353931020829
603225.SH,新凤鸣,化纤,SSE,40.14,25.558,1.6313,2.5141,3127605.971,3110371.9304,1.0757,2026-03-06,312.7605971,311.03719304,32.4898,1.8615,21.33531139003626,12.366371206016646,15.471135917819499
