symbol,total_amount,total_shares,num_buyers,key_person_amount,key_person_count,latest_date,key_person_details
688510,6460160.0,784000,6,5932800.0,3,2025-12-16,"[{'name': '朱宏大', 'title': '高级管理人员', 'amount': 2307200.0, 'shares': 280000, 'price': 8.24, 'date': Timestamp('2025-12-16 00:00:00'), 'is_key': True}, {'name': '吴巍巍', 'title': '高级管理人员', 'amount': 1318400.0, 'shares': 160000, 'price': 8.24, 'date': Timestamp('2025-12-16 00:00:00'), 'is_key': True}, {'name': '严奇', 'title': '董事', 'amount': 2307200.0, 'shares': 280000, 'price': 8.24, 'date': Timestamp('2025-12-16 00:00:00'), 'is_key': True}]"
300087,5583040.0,584000,1,5583040.0,1,2026-01-23,"[{'name': '张从合', 'title': '高管', 'amount': 5583040.0, 'shares': 584000, 'price': 9.56, 'date': Timestamp('2026-01-23 00:00:00'), 'is_key': True}]"
002326,5053988.0,222000,5,5053988.0,5,2026-03-06,"[{'name': '陈丽洁', 'title': '董事', 'amount': 1008480.0000000001, 'shares': 44000, 'price': 22.92, 'date': Timestamp('2026-03-06 00:00:00'), 'is_key': True}, {'name': '金逸中', 'title': '董事、高管', 'amount': 1007880.0, 'shares': 44400, 'price': 22.7, 'date': Timestamp('2026-03-06 00:00:00'), 'is_key': True}, {'name': '王梓臣', 'title': '高管', 'amount': 1009212.0, 'shares': 44400, 'price': 22.73, 'date': Timestamp('2026-03-06 00:00:00'), 'is_key': True}]"
601969,4241202.75,663725,8,4241202.75,8,2026-02-11,"[{'name': '董树星', 'title': '高级管理人员', 'amount': 544747.5, 'shares': 85250, 'price': 6.39, 'date': Timestamp('2026-02-11 00:00:00'), 'is_key': True}, {'name': '滕磊', 'title': '董事、高级管理人员', 'amount': 933834.6, 'shares': 146140, 'price': 6.39, 'date': Timestamp('2026-02-11 00:00:00'), 'is_key': True}, {'name': '朱彤', 'title': '高级管理人员', 'amount': 389087.1, 'shares': 60890, 'price': 6.39, 'date': Timestamp('2026-02-11 00:00:00'), 'is_key': True}]"
688488,4240359.79,254949,1,4240359.79,3,2026-03-09,"[{'name': '傅和亮', 'title': '董事、核心技术人员', 'amount': 1112496.0000000002, 'shares': 68800, 'price': 16.17, 'date': Timestamp('2026-03-09 00:00:00'), 'is_key': True}, {'name': '傅和亮', 'title': '董事、核心技术人员', 'amount': 881642.19, 'shares': 53079, 'price': 16.61, 'date': Timestamp('2026-03-05 00:00:00'), 'is_key': True}, {'name': '傅和亮', 'title': '董事、核心技术人员', 'amount': 2246221.6, 'shares': 133070, 'price': 16.88, 'date': Timestamp('2026-03-04 00:00:00'), 'is_key': True}]"
688590,11074608.0,735600,9,4169200.0,3,2026-01-30,"[{'name': '金铭康', 'title': '董事、高级管理人员', 'amount': 1191200.0, 'shares': 80000, 'price': 14.89, 'date': Timestamp('2026-01-07 00:00:00'), 'is_key': True}, {'name': '耿琦', 'title': '董事', 'amount': 1191200.0, 'shares': 80000, 'price': 14.89, 'date': Timestamp('2026-01-07 00:00:00'), 'is_key': True}, {'name': '章晓峰', 'title': '董事、高级管理人员', 'amount': 1786800.0, 'shares': 120000, 'price': 14.89, 'date': Timestamp('2026-01-07 00:00:00'), 'is_key': True}]"
688550,3800157.96,269133,1,3800157.96,1,2026-01-08,"[{'name': '刘晓春', 'title': '董事', 'amount': 3800157.96, 'shares': 269133, 'price': 14.12, 'date': Timestamp('2026-01-08 00:00:00'), 'is_key': True}]"
688698,3628800.0,135000,3,3628800.0,3,2026-01-06,"[{'name': '骆鹏', 'title': '董事', 'amount': 1209600.0, 'shares': 45000, 'price': 26.88, 'date': Timestamp('2026-01-06 00:00:00'), 'is_key': True}, {'name': '贺琬株', 'title': '高级管理人员', 'amount': 1209600.0, 'shares': 45000, 'price': 26.88, 'date': Timestamp('2026-01-06 00:00:00'), 'is_key': True}, {'name': '莫竹琴', 'title': '董事、高级管理人员', 'amount': 1209600.0, 'shares': 45000, 'price': 26.88, 'date': Timestamp('2026-01-06 00:00:00'), 'is_key': True}]"
300661,3339991.0000000005,43700,1,3339991.0000000005,1,2026-01-30,"[{'name': '林林', 'title': '董事', 'amount': 3339991.0000000005, 'shares': 43700, 'price': 76.43, 'date': Timestamp('2026-01-30 00:00:00'), 'is_key': True}]"
688110,3144118.4,155360,3,3144118.4,3,2025-12-23,"[{'name': '潘惠忠', 'title': '高级管理人员', 'amount': 1023840.0, 'shares': 50560, 'price': 20.25, 'date': Timestamp('2025-12-23 00:00:00'), 'is_key': True}, {'name': '冯毓升', 'title': '高级管理人员', 'amount': 883209.6, 'shares': 43680, 'price': 20.22, 'date': Timestamp('2025-12-23 00:00:00'), 'is_key': True}, {'name': 'KIM HACK SOO', 'title': '高级管理人员', 'amount': 1237068.7999999998, 'shares': 61120, 'price': 20.24, 'date': Timestamp('2025-12-23 00:00:00'), 'is_key': True}]"
