symbol,name,industry,exchange,price,pe_ttm,pb,ps_ttm,turnover_rate,volume_ratio,market_cap_10k,circulating_cap_10k,dividend_yield_ttm,date,market_cap,circulating_cap,momentum_20d,momentum_60d,price_vs_ma120,price_vs_ma60,volatility_20d,pe_score,pb_score,ps_score,dividend_score,momentum_20d_score,momentum_60d_score,turnover_deviation,turnover_score,volume_ratio_deviation,volume_ratio_score,stability_score,total_score
600710.SH,苏美达,商贸代理,SSE,14.33,13.8176,2.2011,0.159,3.6558,1.2,1872571.9389,1872571.9389,2.575,2026-03-09,187.25719389,187.25719389,26.1443661971831,34.17602996254683,,1.2445177819271356,65.65853731404555,86.17157490396927,51.280409731113956,98.78361075544174,69.91037131882202,97.43918053777209,92.31754161331625,2.1558,21.959026888604356,0.0,99.58386683738796,5.569782330345703,71.78937259923175
002116.SZ,中国海诚,建筑工程,SZSE,11.05,15.0165,1.8566,0.7386,1.5139,0.99,514702.4241,509073.4569,2.8014,2026-03-09,51.47024241,50.90734569,2.4096385542168752,2.982292637465056,,1.032244001930592,24.857064150628137,83.22663252240717,61.01152368758002,88.15620998719591,73.8156209987196,61.58770806658131,50.06402048655569,0.013900000000000023,99.23175416133162,0.20999999999999996,70.00640204865557,74.19974391805378,71.71254801536492
002128.SZ,电投能源,煤炭开采,SZSE,33.27,14.7389,2.0028,2.449,1.5902,1.0,7457715.0112,7457715.0112,2.4046,2026-03-09,745.7715011199999,745.7715011199999,24.60674157303373,24.420344053851917,,1.1456217072414863,53.74691134410372,84.18693982074264,56.33802816901409,47.183098591549296,66.77336747759283,97.24711907810499,87.83610755441741,0.09020000000000006,94.87836107554418,0.19999999999999996,71.79897567221511,13.892445582586433,71.2676056338028
600233.SH,圆通速递,仓储物流,SSE,19.11,16.5218,1.9601,0.886,0.7441,1.15,6540540.1963,6540540.1963,1.8825,2026-03-09,654.05401963,654.05401963,13.885578069129911,9.764503159103954,,1.0964589329941763,34.52480964228541,78.36107554417413,57.68245838668374,85.08322663252241,55.953905249679906,91.0371318822023,69.97439180537772,0.7559,54.03329065300896,0.050000000000000044,93.854033290653,43.72599231754162,71.02112676056339
600039.SH,四川路桥,建筑工程,SSE,10.01,11.2506,1.7598,0.8012,0.3962,1.28,8704286.2356,8704286.2356,4.0921,2026-03-09,870.42862356,870.42862356,3.9460020768431914,5.368421052631578,,1.008005639192387,28.56845530805103,92.76568501920615,64.6606914212548,86.93982074263765,87.45198463508322,67.4775928297055,57.49039692701664,1.1038000000000001,38.92445582586428,0.08000000000000007,90.14084507042253,61.52368758002561,70.98591549295774
000544.SZ,中原环保,环境保护,SZSE,9.06,8.3252,0.9733,1.6803,1.3292,0.66,883064.1461,883064.1461,2.8698,2026-03-09,88.30641461,88.30641461,7.218934911242614,5.841121495327095,,1.06171875,24.70498256726734,97.24711907810499,92.12548015364916,64.7247119078105,74.77592829705506,78.74519846350833,58.64276568501921,0.17080000000000006,89.94878361075544,0.5399999999999999,10.371318822023042,74.32778489116518,70.96030729833547
601838.SH,成都银行,银行,SSE,16.91,5.3837,0.8451,3.0497,0.9078,0.96,7167194.187,7167194.187,5.2691,2026-03-09,716.7194187,716.7194187,5.16169154228856,-1.3418903150525074,,1.0372960372960374,18.36357637241631,99.29577464788733,95.07042253521126,37.06786171574904,95.00640204865557,72.34314980793854,35.46734955185659,0.5922,64.53265044814341,0.24,64.7887323943662,91.61331626120358,70.9090909090909
600015.SH,华夏银行,银行,SSE,6.83,3.9963,0.3541,1.1826,0.4156,0.77,10869896.1436,10509473.9804,5.9297,2026-03-09,1086.98961436,1050.94739804,6.220839813374801,-1.0144927536231974,,1.0202912983941241,13.783177672179942,99.93597951344431,99.80793854033291,79.3854033290653,96.79897567221511,75.60819462227913,36.555697823303454,1.0844,39.500640204865554,0.42999999999999994,26.85659411011524,97.82330345710628,70.83546734955185
600449.SH,宁夏建材,水泥,SSE,13.62,22.3029,0.8788,1.099,1.9925,1.2,651282.5792,651282.5792,1.5419,2026-03-09,65.12825792000001,65.12825792000001,5.255023183925811,5.255023183925811,,1.0530927835051545,28.449899676167217,59.28297055057619,94.49423815620999,81.04993597951344,46.60691421254802,72.53521126760563,57.36235595390525,0.49249999999999994,70.2944942381562,0.0,99.58386683738796,62.035851472471194,70.81946222791294
000726.SZ,鲁泰Ａ,纺织,SZSE,7.44,9.727,0.6334,1.0153,1.7503,0.89,608076.3485,438303.6343,2.6882,2026-03-09,60.80763485,43.83036343,-0.13422818791946067,4.347826086956519,,1.0133708655876146,26.16888936133809,95.64660691421255,97.95134443021767,82.26632522407171,71.95902688860436,48.84763124199744,54.86555697823303,0.25029999999999997,84.50704225352112,0.30999999999999994,50.736235595390525,69.33418693982074,70.79705505761844
