symbol,name,industry,list_date,price,pe_ttm,pb,market_cap,circulating_cap,turnover_rate,dividend_yield_ttm,median_pe,median_pb,median_market_cap,stock_count,pe_vs_industry,growth_score
301122.SZ,采纳股份,医疗保健,2022-01-26,,1044.4577,2.2728,40.646681290000004,25.15051879,2.4628,0.7519,36.9026,2.8358499999999998,67.744790975,94.0,2730.3092465029563,40
002337.SZ,赛象科技,化工机械,2010-01-15,,93.2527,3.0664,40.37904045,40.3365621,2.1594,0.3061,30.56335,3.0385,108.80485404,6.0,205.11282303805046,40
300617.SZ,安靠智电,电气设备,2017-02-28,,96.8782,4.0701,117.40387994,98.42745845,23.2986,0.3353,44.2981,3.26595,92.1528,172.0,118.69606145636044,40
301183.SZ,东田微,元器件,2022-05-24,,123.1265,12.6085,117.80031849,86.35846287999999,8.2152,0.0849,49.2977,3.6356,91.562289,139.0,149.76114504327788,40
688106.SH,金宏气体,化工原料,2020-06-16,,96.137,3.9843,117.84356159000001,117.84356159000001,5.6658,0.4049,40.87335,2.7121,70.847334845,142.0,135.20704811325717,40
002933.SZ,新兴装备,航空,2018-08-28,,130.149,2.6427,40.43881,39.3150856,3.3728,0.058,64.8122,3.1066,301.80269171000003,15.0,100.80941551127718,40
301255.SZ,通力科技,机械基件,2022-12-27,,96.4397,3.8046,39.984,9.996,3.4115,0.5442,41.7448,3.607,53.566907365000006,70.0,131.02206741917556,40
600180.SH,瑞茂通,仓储物流,1998-07-03,,254.6023,0.5191,40.85719265,40.85719265,1.5013,0.9235,23.9118,1.8671,100.01544768,33.0,964.7558945792455,40
600527.SH,江南高纤,化纤,2003-11-27,,146.3205,1.9793,40.86955729,40.86955729,4.0991,2.1,33.4637,2.0447,114.32609461999999,19.0,337.2514097365205,40
301161.SZ,唯万密封,工程机械,2022-09-14,,56.4067,4.4428,40.944,40.944,2.8637,0.2462,36.0433,2.8809,100.39983889999999,31.0,56.497046607830015,40
688151.SH,华强科技,医疗保健,2021-12-06,,181.541,1.8324,77.47805,77.47805,1.0883,0.193,36.9026,2.8358499999999998,67.744790975,94.0,391.94636692265584,40
920576.BJ,天力复合,小金属,2023-07-12,,351.7268,17.3694,77.56150500000001,76.26417688,2.0999,0.2809,45.899100000000004,3.39795,225.02669957,28.0,666.3043501942304,40
002743.SZ,富煌钢构,钢加工,2015-02-17,,101.1479,0.7603,25.07146433,25.03128833,1.8867,,29.28805,1.6898,73.34152584,16.0,245.35552896147067,40
600235.SH,民丰特纸,造纸,2000-06-15,,84.5513,1.6576,25.08282,25.08282,2.1356,0.2381,26.23615,1.9428,55.933687379999995,22.0,222.2702263861123,40
